0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:02 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:13 +0530] "GET /e-Library/ReturnBookForm HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:20 +0530] "POST /e-Library/ReturnBook HTTP/1.1" 200 1616
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:29 +0530] "GET /e-Library/IssueBookForm HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:31 +0530] "GET /e-Library/ViewBook HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:32 +0530] "GET /e-Library/IssueBookForm HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:39 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:43 +0530] "GET /e-Library/IssueBookForm HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:25:56 +0530] "POST /e-Library/IssueBook HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:26:00 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:26:50 +0530] "GET /e-Library/ReturnBookForm HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:26:53 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:26:56 +0530] "GET /e-Library/ReturnBookForm HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:00 +0530] "GET /e-Library/ReturnBookForm HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:01 +0530] "GET /e-Library/ReturnBookForm HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:02 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:05 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:06 +0530] "GET /e-Library/ReturnBookForm HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:07 +0530] "GET /e-Library/ViewIssuedBook HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:12 +0530] "GET /e-Library/IssueBookForm HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:13 +0530] "GET /e-Library/ViewBook HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:41 +0530] "GET /e-Library/IssueBookForm HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:42 +0530] "GET /e-Library/ViewBook HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:27:43 +0530] "GET /e-Library/AddBookForm HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:32:39 +0530] "POST /e-Library/AdminLogin HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:32:39 +0530] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:32:39 +0530] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [21/Nov/2020:10:32:39 +0530] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1116
